genre	rating	review
Sci-Fi	8	but it still is incredibly funny, without becoming as strange as Nice Dreams.
Sci-Fi	8	-Celluloid Rehab
Animation	7	All this is just a critic, Its a good movie an something new.
Animation	7	very touching
Animation	7	and I gotta go
Comedy	7	All this is just a critic, Its a good movie an something new.
Comedy	7	very touching
Comedy	7	and I gotta go
Drama	7	All this is just a critic, Its a good movie an something new.
Drama	7	very touching
Drama	7	and I gotta go
Biography	10	Best scene:
Drama	10	Best scene:
Music	10	Best scene:
Comedy	9	Brodie(1863-1901) and
Comedy	9	it?-
Comedy	9	Pretty Fay Wray is the love interest both the boys are pursuing.
Comedy	9	Full of life and energy,"The Bowery" moves at a fast pace(unlike many early
Drama	9	Brodie(1863-1901) and
Drama	9	it?-
Drama	9	Pretty Fay Wray is the love interest both the boys are pursuing.
Drama	9	Full of life and energy,"The Bowery" moves at a fast pace(unlike many early
Comedy	8	I thought this movie was LOL funny.
Comedy	8	"
Comedy	8	that and an unfathomable, nearly mystical level of charm and dumb luck.
Comedy	8	And so the hijinx begin!
Comedy	8	Pierce Brosnan the newest but no longer James Bond, is an assassin.
Comedy	8	Greg Kinnair is really good as the straight and narrow business man.
Comedy	8	I must say this movie is a must see.
Crime	8	Pierce Brosnan the newest but no longer James Bond, is an assassin.
Crime	8	Greg Kinnair is really good as the straight and narrow business man.
Crime	8	I must say this movie is a must see.
Thriller	8	Pierce Brosnan the newest but no longer James Bond, is an assassin.
Thriller	8	Greg Kinnair is really good as the straight and narrow business man.
Thriller	8	I must say this movie is a must see.
Action	8	8/10
Drama	8	8/10
Western	8	8/10
Action	9	This is an action-melodrama like the world has never seen it before.
Action	9	Chilling performance by Edison Chen.
Crime	9	This is an action-melodrama like the world has never seen it before.
Crime	9	Chilling performance by Edison Chen.
Drama	9	This is an action-melodrama like the world has never seen it before.
Drama	9	Chilling performance by Edison Chen.
Action	10	This is an excellent film for female body-builder & female action fans!
Action	10	What a pity it hasn't shown yet on DVD :-(
Sci-Fi	10	This is an excellent film for female body-builder & female action fans!
Sci-Fi	10	What a pity it hasn't shown yet on DVD :-(
Thriller	10	This is an excellent film for female body-builder & female action fans!
Thriller	10	What a pity it hasn't shown yet on DVD :-(
Drama	10	Even though it was made in 1980, it is still timely today.
Drama	10	The great country music soundtrack is terrific.
Drama	10	10/10
Romance	10	Even though it was made in 1980, it is still timely today.
Romance	10	The great country music soundtrack is terrific.
Romance	10	10/10
Western	10	Even though it was made in 1980, it is still timely today.
Western	10	The great country music soundtrack is terrific.
Western	10	10/10
Comedy	9	One of the best love stories I have ever seen.
Comedy	9	"The World Famous Singer" and Little Edie
Comedy	9	" The World Famous Dancer.
Comedy	9	"
Documentary	9	One of the best love stories I have ever seen.
Documentary	9	"The World Famous Singer" and Little Edie
Documentary	9	" The World Famous Dancer.
Documentary	9	"
Drama	9	One of the best love stories I have ever seen.
Drama	9	"The World Famous Singer" and Little Edie
Drama	9	" The World Famous Dancer.
Drama	9	"
Romance	10	Both Dalton and Clarke are very believable as Rochester and Jane.
Romance	10	I've seen other versions, but none compare to this one.
Romance	10	The best one for me.
Romance	10	I could never imagine anyone else playing these characters ever again.
Romance	10	At that time, I was a bookworm
Romance	10	and I had just read Charlotte Bronte's novel.
Romance	10	I'd like to see it again because it's so good. :-)
Crime	10	Action takes place in fictional western state where fictional president has been killed.
Crime	10	Furthermore, it's even a bit frightful how precise are it's oracles.
Crime	10	10 out of 10.
Drama	10	Action takes place in fictional western state where fictional president has been killed.
Drama	10	Furthermore, it's even a bit frightful how precise are it's oracles.
Drama	10	10 out of 10.
Mystery	10	Action takes place in fictional western state where fictional president has been killed.
Mystery	10	Furthermore, it's even a bit frightful how precise are it's oracles.
Mystery	10	10 out of 10.
Comedy	10	Did you ever wonder how far one movie could go?
Comedy	10	Schizophreniac relentlessly explores the world of the extreme with Harry Russo.
Comedy	10	DO NOT EXPECT ANYTHING LIKE MODERN DAY HORROR (Such as Scream)
Comedy	10	Viewer discretion is advised
Drama	10	Did you ever wonder how far one movie could go?
Drama	10	Schizophreniac relentlessly explores the world of the extreme with Harry Russo.
Drama	10	DO NOT EXPECT ANYTHING LIKE MODERN DAY HORROR (Such as Scream)
Drama	10	Viewer discretion is advised
Horror	10	Did you ever wonder how far one movie could go?
Horror	10	Schizophreniac relentlessly explores the world of the extreme with Harry Russo.
Horror	10	DO NOT EXPECT ANYTHING LIKE MODERN DAY HORROR (Such as Scream)
Horror	10	Viewer discretion is advised
Drama	10	That aside, this film ranks as a classic.
Drama	10	Streisand fought hard to make this movie her own.
Drama	10	I don't think she was ever satisfied.
Drama	10	The story is rough, but exciting, and holds your interest throughout.
Music	10	That aside, this film ranks as a classic.
Music	10	Streisand fought hard to make this movie her own.
Music	10	I don't think she was ever satisfied.
Music	10	The story is rough, but exciting, and holds your interest throughout.
Romance	10	That aside, this film ranks as a classic.
Romance	10	Streisand fought hard to make this movie her own.
Romance	10	I don't think she was ever satisfied.
Romance	10	The story is rough, but exciting, and holds your interest throughout.
Comedy	10	I happen to run into this movie one night
Comedy	10	so I decided to watch it!
Comedy	10	I was very pleased with the movie...
Comedy	10	I thought it was a wonderful plot.
Comedy	10	And this wife stayed devoted for 23 years!!!
Comedy	10	I thought it was a great movie!!
Fantasy	10	I happen to run into this movie one night
Fantasy	10	so I decided to watch it!
Fantasy	10	I was very pleased with the movie...
Fantasy	10	I thought it was a wonderful plot.
Fantasy	10	And this wife stayed devoted for 23 years!!!
Fantasy	10	I thought it was a great movie!!
Romance	10	I happen to run into this movie one night
Romance	10	so I decided to watch it!
Romance	10	I was very pleased with the movie...
Romance	10	I thought it was a wonderful plot.
Romance	10	And this wife stayed devoted for 23 years!!!
Romance	10	I thought it was a great movie!!
Drama	8	A small gripe, but one that makes it a bit less realistic.
Drama	8	I'm hoping for a DVD release in the near future!
Drama	10	I saw this film a while back
Drama	10	and it's still at the top of my 'favorite movies' list.
Drama	10	UNLESS YOU ARE HISPANIC.
Drama	10	This is just one of those films that is very culturally specific and particular.
Drama	10	This film is highly deserving of a better rating.
Romance	10	I saw this film a while back
Romance	10	and it's still at the top of my 'favorite movies' list.
Romance	10	UNLESS YOU ARE HISPANIC.
Romance	10	This is just one of those films that is very culturally specific and particular.
Romance	10	This film is highly deserving of a better rating.
Action	9	Or did they ?
Action	9	I`m shocked this film isn`t in the top 250 IMDB films .
Adventure	9	Or did they ?
Adventure	9	I`m shocked this film isn`t in the top 250 IMDB films .
Sci-Fi	9	Or did they ?
Sci-Fi	9	I`m shocked this film isn`t in the top 250 IMDB films .
Crime	9	And will admit that I shed quite a few tears throughout.
Drama	9	And will admit that I shed quite a few tears throughout.
Animation	8	Animals like say, a certain rabbit.
Animation	8	It still remains as funny nearly 60+ years later.
Animation	8	My Grade: A-
Comedy	8	Animals like say, a certain rabbit.
Comedy	8	It still remains as funny nearly 60+ years later.
Comedy	8	My Grade: A-
Family	8	Animals like say, a certain rabbit.
Family	8	It still remains as funny nearly 60+ years later.
Family	8	My Grade: A-
Animation	8	Tom can't take anymore
Animation	8	I always found Jerry, the little mouse, more evil than cute.
Comedy	8	Tom can't take anymore
Comedy	8	I always found Jerry, the little mouse, more evil than cute.
Family	8	Tom can't take anymore
Family	8	I always found Jerry, the little mouse, more evil than cute.
Comedy	9	A truly wonderful film !!
Drama	9	A truly wonderful film !!
Musical	7	He also plays a cameo as the conductor.
Musical	7	Gertrude Michael however provides a bit of spark.
Musical	7	This is where this movie could have been a lot better.
Mystery	7	He also plays a cameo as the conductor.
Mystery	7	Gertrude Michael however provides a bit of spark.
Mystery	7	This is where this movie could have been a lot better.
Romance	7	He also plays a cameo as the conductor.
Romance	7	Gertrude Michael however provides a bit of spark.
Romance	7	This is where this movie could have been a lot better.
Animation	9	Things are idyllic for a time but, predictably, it goes sour.
Animation	9	I enjoyed one a bunch
Animation	9	and you should try to catch it on Cartoon Network.
Comedy	9	Things are idyllic for a time but, predictably, it goes sour.
Comedy	9	I enjoyed one a bunch
Comedy	9	and you should try to catch it on Cartoon Network.
Family	9	Things are idyllic for a time but, predictably, it goes sour.
Family	9	I enjoyed one a bunch
Family	9	and you should try to catch it on Cartoon Network.
Comedy	10	This is so exciting!
Comedy	10	This is rather perfect.
Musical	10	This is so exciting!
Musical	10	This is rather perfect.
Drama	10	i can see why they have 3 nominations.
Drama	10	you can find mermaid at all blockbuster video stores.
Drama	10	do watch it,you'll be glad you did.
Family	10	i can see why they have 3 nominations.
Family	10	you can find mermaid at all blockbuster video stores.
Family	10	do watch it,you'll be glad you did.
Crime	9	Have you ever felt fascination for something that was both dangerous and wrong?
Crime	9	Watch what happens if you pursue this urge and go all the way.
Crime	9	You're never sure of who is exactly who in this movie.
Crime	9	This is both a quality and a drawback of the script.
Crime	9	As the movie ends you feel that the story lacks a bit of consistency.
Crime	9	But all this is largely compensated by the excellent psychological development.
Crime	9	This is definitely one of the best movies about gambling.
Thriller	9	Have you ever felt fascination for something that was both dangerous and wrong?
Thriller	9	Watch what happens if you pursue this urge and go all the way.
Thriller	9	You're never sure of who is exactly who in this movie.
Thriller	9	This is both a quality and a drawback of the script.
Thriller	9	As the movie ends you feel that the story lacks a bit of consistency.
Thriller	9	But all this is largely compensated by the excellent psychological development.
Thriller	9	This is definitely one of the best movies about gambling.
Comedy	10	A very strange and compelling movie.
Comedy	10	One of the more memorable films I've seen in a long while.
Comedy	10	Hasn't left my mind and I look forward to future efforts by Bronstein.
Comedy	10	Fantastic performances all around.
Comedy	10	The simple line "I really appreciate it.
Comedy	10	" is now iconic to me.
Drama	10	A very strange and compelling movie.
Drama	10	One of the more memorable films I've seen in a long while.
Drama	10	Hasn't left my mind and I look forward to future efforts by Bronstein.
Drama	10	Fantastic performances all around.
Drama	10	The simple line "I really appreciate it.
Drama	10	" is now iconic to me.
Adventure	9	This movie is highly underrated and contains many messages of real life.
Adventure	9	This movie is an inspirational quest story that is made for kids
Adventure	9	yet epic in its own right.
Adventure	9	I recommend this movie to anyone of any age.
Comedy	9	This movie is highly underrated and contains many messages of real life.
Comedy	9	This movie is an inspirational quest story that is made for kids
Comedy	9	yet epic in its own right.
Comedy	9	I recommend this movie to anyone of any age.
Drama	9	This movie is highly underrated and contains many messages of real life.
Drama	9	This movie is an inspirational quest story that is made for kids
Drama	9	yet epic in its own right.
Drama	9	I recommend this movie to anyone of any age.
Comedy	9	I happened upon this film by accident, and really enjoyed.
Comedy	9	Meloni's take on the parade is different from Busfield's.
Comedy	9	Janel Maloney is terrific...
Drama	9	I happened upon this film by accident, and really enjoyed.
Drama	9	Meloni's take on the parade is different from Busfield's.
Drama	9	Janel Maloney is terrific...
Romance	9	I happened upon this film by accident, and really enjoyed.
Romance	9	Meloni's take on the parade is different from Busfield's.
Romance	9	Janel Maloney is terrific...
Drama	10	It was also nice to see the west inhabited by real people.
Drama	10	Conchatta Ferrell is just wonderful.
Western	10	It was also nice to see the west inhabited by real people.
Western	10	Conchatta Ferrell is just wonderful.
Comedy	10	The place was packed both times and people had to be turned away.
Comedy	10	but!
Romance	10	The place was packed both times and people had to be turned away.
Romance	10	but!
Comedy	10	It is the single most genius text in cinematic history.
Comedy	10	My comment ended a while ago.
Comedy	10	Hopefully it works when I submit it now.
Horror	10	It is the single most genius text in cinematic history.
Horror	10	My comment ended a while ago.
Horror	10	Hopefully it works when I submit it now.
Sci-Fi	10	It is the single most genius text in cinematic history.
Sci-Fi	10	My comment ended a while ago.
Sci-Fi	10	Hopefully it works when I submit it now.
Biography	10	This movie was the best movie I have ever seen.
Biography	10	Being LDS
Biography	10	Everyone was touched by what they saw
Biography	10	and I have not been the same since I have seen it.
Biography	10	I highly recommend this movie for everyone.
Drama	10	This movie was the best movie I have ever seen.
Drama	10	Being LDS
Drama	10	Everyone was touched by what they saw
Drama	10	and I have not been the same since I have seen it.
Drama	10	I highly recommend this movie for everyone.
History	10	This movie was the best movie I have ever seen.
History	10	Being LDS
History	10	Everyone was touched by what they saw
History	10	and I have not been the same since I have seen it.
History	10	I highly recommend this movie for everyone.
Drama	10	Beautiful film, pure Cassavetes style.
Drama	10	One of the best dramas ever.
Drama	10	10/10.
Action	7	Despite all of the good things, the soundtrack was atrocious.
Adventure	7	Despite all of the good things, the soundtrack was atrocious.
Drama	7	Despite all of the good things, the soundtrack was atrocious.
Comedy	8	My wife and I both dug it!
Drama	8	My wife and I both dug it!
Horror	7	This is a must for Vincent Price fans.
Mystery	7	This is a must for Vincent Price fans.
Thriller	7	This is a must for Vincent Price fans.
Action	8	Still one of my favorite episodes.
Action	8	It would be nice to know who this pretty lady actually is...
Adventure	8	Still one of my favorite episodes.
Adventure	8	It would be nice to know who this pretty lady actually is...
Mystery	8	Still one of my favorite episodes.
Mystery	8	It would be nice to know who this pretty lady actually is...
Horror	7	and snaps big time into a furious breakdown.
Horror	7	"
Horror	7	Check it out!
Biography	8	I thought this move was very good.
Biography	8	Being a military pilot I could relate to many of these parts.
Drama	8	I thought this move was very good.
Drama	8	Being a military pilot I could relate to many of these parts.
Comedy	9	i thought this movie was really really great!
Comedy	9	Helena did an amazing job in it!
Comedy	9	I thought she played her character very well!
Comedy	9	she's an AWESOME actress!!
Comedy	9	:) the movie was also really funny too!
Comedy	9	The jokes were great!
Comedy	9	i couldnt stop laughing!
Comedy	9	:) i think everyone should see it...
Comedy	9	:)
Drama	9	i thought this movie was really really great!
Drama	9	Helena did an amazing job in it!
Drama	9	I thought she played her character very well!
Drama	9	she's an AWESOME actress!!
Drama	9	:) the movie was also really funny too!
Drama	9	The jokes were great!
Drama	9	i couldnt stop laughing!
Drama	9	:) i think everyone should see it...
Drama	9	:)
Romance	9	i thought this movie was really really great!
Romance	9	Helena did an amazing job in it!
Romance	9	I thought she played her character very well!
Romance	9	she's an AWESOME actress!!
Romance	9	:) the movie was also really funny too!
Romance	9	The jokes were great!
Romance	9	i couldnt stop laughing!
Romance	9	:) i think everyone should see it...
Romance	9	:)
Documentary	8	Most sympathising moments are seeing his terrible condition, and pealing off his bandages.
Documentary	8	It was number 10 on The 100 Greatest TV Treats 2004.
Documentary	8	A must see documentary!
Crime	7	Rather risqué for 1931!
Drama	7	Rather risqué for 1931!
Romance	7	Rather risqué for 1931!
Animation	7	I don't know why some people criticise that show so much.
Animation	7	The supporting characters are absolutely hilarious.
Animation	7	This show was well worth the 8 Pounds I paid for it.
Animation	7	rating: 8/10
Comedy	7	I don't know why some people criticise that show so much.
Comedy	7	The supporting characters are absolutely hilarious.
Comedy	7	This show was well worth the 8 Pounds I paid for it.
Comedy	7	rating: 8/10
Short	10	Compared to other satirical broadcasts it was definitely the best of all.
Short	10	Is it possible to purchase it from someone... somewhere?
Comedy	7	This film is enjoyable, light fare.
Comedy	7	Barbara Read as Kay comes across as sweet and pretty
Musical	7	This film is enjoyable, light fare.
Musical	7	Barbara Read as Kay comes across as sweet and pretty
Romance	7	This film is enjoyable, light fare.
Romance	7	Barbara Read as Kay comes across as sweet and pretty
Comedy	8	The producers must have got something right.
Comedy	8	A real classic.
Comedy	8	A cult film waiting to happen!
Family	8	Both visually and musically stunning.
Family	8	A treat for both the eye and the ear.
Family	8	The dancing of many of the lead artistes is breathtakingly good.
Fantasy	8	Both visually and musically stunning.
Fantasy	8	A treat for both the eye and the ear.
Fantasy	8	The dancing of many of the lead artistes is breathtakingly good.
Music	8	Both visually and musically stunning.
Music	8	A treat for both the eye and the ear.
Music	8	The dancing of many of the lead artistes is breathtakingly good.
Comedy	7	"
Comedy	7	"
Comedy	7	A film from last year released now to capitalize on the attention
Comedy	7	" as in summarizing chaos theory as a controlling element in our lives.
Comedy	7	The subtitles quite annoyingly gave both parts of a dialog at once.
Comedy	7	(originally written 12/8/2001)
Drama	7	"
Drama	7	"
Drama	7	A film from last year released now to capitalize on the attention
Drama	7	" as in summarizing chaos theory as a controlling element in our lives.
Drama	7	The subtitles quite annoyingly gave both parts of a dialog at once.
Drama	7	(originally written 12/8/2001)
Romance	7	"
Romance	7	"
Romance	7	A film from last year released now to capitalize on the attention
Romance	7	" as in summarizing chaos theory as a controlling element in our lives.
Romance	7	The subtitles quite annoyingly gave both parts of a dialog at once.
Romance	7	(originally written 12/8/2001)
Adventure	9	'
Adventure	9	Holes' was a GREAT movie.
Adventure	9	Disney made the right choice.
Adventure	9	Every person who I have talked to about it said they LOVED it.
Adventure	9	everyone who hasn't seen it
Adventure	9	I recommend it
Adventure	9	and I guarantee you will 'Dig It'.
Comedy	9	'
Comedy	9	Holes' was a GREAT movie.
Comedy	9	Disney made the right choice.
Comedy	9	Every person who I have talked to about it said they LOVED it.
Comedy	9	everyone who hasn't seen it
Comedy	9	I recommend it
Comedy	9	and I guarantee you will 'Dig It'.
Drama	9	'
Drama	9	Holes' was a GREAT movie.
Drama	9	Disney made the right choice.
Drama	9	Every person who I have talked to about it said they LOVED it.
Drama	9	everyone who hasn't seen it
Drama	9	I recommend it
Drama	9	and I guarantee you will 'Dig It'.
Comedy	10	I was in absolute awe of this beautiful lady.
Comedy	10	She pulled it of flawlessly.
Comedy	10	I forgot to mention how dynamically beautiful Miss Carter looked in this movie.
Comedy	10	Thank you for letting me express my opinion.
Drama	10	I was in absolute awe of this beautiful lady.
Drama	10	She pulled it of flawlessly.
Drama	10	I forgot to mention how dynamically beautiful Miss Carter looked in this movie.
Drama	10	Thank you for letting me express my opinion.
Romance	10	I was in absolute awe of this beautiful lady.
Romance	10	She pulled it of flawlessly.
Romance	10	I forgot to mention how dynamically beautiful Miss Carter looked in this movie.
Romance	10	Thank you for letting me express my opinion.
Action	10	The subtleties are truly out of this world and the characterization is beyond brilliant.
Action	10	I do have some complaints though.
Action	10	Buaku rules.
Animation	10	The subtleties are truly out of this world and the characterization is beyond brilliant.
Animation	10	I do have some complaints though.
Animation	10	Buaku rules.
Comedy	10	The subtleties are truly out of this world and the characterization is beyond brilliant.
Comedy	10	I do have some complaints though.
Comedy	10	Buaku rules.
Crime	10	This is one of my favorite films of all time.
Crime	10	Al Pacino acting is at its best and the story is excellent.
Drama	10	This is one of my favorite films of all time.
Drama	10	Al Pacino acting is at its best and the story is excellent.
Comedy	8	that films today just don't have.
Drama	8	that films today just don't have.
Romance	8	that films today just don't have.
Comedy	9	Film is worth watching just to see the famed Remo in action.
Comedy	9	Highly recommended.
Drama	9	Film is worth watching just to see the famed Remo in action.
Drama	9	Highly recommended.
Sport	9	Film is worth watching just to see the famed Remo in action.
Sport	9	Highly recommended.
Comedy	8	...
Comedy	8	It even beats the nasty "raw".
Comedy	8	It shows Eddie Murphy dressed in tight red
Comedy	8	clothes(Old School)and he jokes with everything from celebertis to his family.
Comedy	8	He was only 22-years old then and this is a must-see!
Comedy	8	8/10
Documentary	8	...
Documentary	8	It even beats the nasty "raw".
Documentary	8	It shows Eddie Murphy dressed in tight red
Documentary	8	clothes(Old School)and he jokes with everything from celebertis to his family.
Documentary	8	He was only 22-years old then and this is a must-see!
Documentary	8	8/10
Action	8	This is a very dramatic and suspenseful movie.
Action	8	There are many plots and turns.
Action	8	Strong performance of Sean Connery and Ed Harris.
Action	8	If you liked this one
Action	8	don´t miss "TRUE CRIMES" or "THE HURRICANE".
Action	8	My wife and me gave 8/10.
Crime	8	This is a very dramatic and suspenseful movie.
Crime	8	There are many plots and turns.
Crime	8	Strong performance of Sean Connery and Ed Harris.
Crime	8	If you liked this one
Crime	8	don´t miss "TRUE CRIMES" or "THE HURRICANE".
Crime	8	My wife and me gave 8/10.
Drama	8	This is a very dramatic and suspenseful movie.
Drama	8	There are many plots and turns.
Drama	8	Strong performance of Sean Connery and Ed Harris.
Drama	8	If you liked this one
Drama	8	don´t miss "TRUE CRIMES" or "THE HURRICANE".
Drama	8	My wife and me gave 8/10.
Comedy	10	Full House came to me when I was about 9.
Comedy	10	One day, I was lucky enough to catch an episode while visiting family.
Comedy	10	10/10
Drama	10	Full House came to me when I was about 9.
Drama	10	One day, I was lucky enough to catch an episode while visiting family.
Drama	10	10/10
Family	10	Full House came to me when I was about 9.
Family	10	One day, I was lucky enough to catch an episode while visiting family.
Family	10	10/10
Comedy	7	"
Comedy	7	Highly recommended. - MERK
Drama	7	"
Drama	7	Highly recommended. - MERK
Horror	7	"
Horror	7	Highly recommended. - MERK
Biography	8	I gave it an 8 star rating.
Drama	8	I gave it an 8 star rating.
Action	8	I have to say, I loved Vanishing Point.
Action	8	it's like pushing a brick wall through the wind at 70 mph.
Adventure	8	I have to say, I loved Vanishing Point.
Adventure	8	it's like pushing a brick wall through the wind at 70 mph.
Drama	8	I have to say, I loved Vanishing Point.
Drama	8	it's like pushing a brick wall through the wind at 70 mph.
Adventure	9	I don't know how anyone could hate this movie.
Adventure	9	It is so funny.
Adventure	9	It took a unique mind to come up with this storyline.
Adventure	9	It's not your typical alien movie.
Adventure	9	These aliens are so stupid and confused.
Adventure	9	You need to rent it at least once.
Comedy	9	I don't know how anyone could hate this movie.
Comedy	9	It is so funny.
Comedy	9	It took a unique mind to come up with this storyline.
Comedy	9	It's not your typical alien movie.
Comedy	9	These aliens are so stupid and confused.
Comedy	9	You need to rent it at least once.
Sci-Fi	9	I don't know how anyone could hate this movie.
Sci-Fi	9	It is so funny.
Sci-Fi	9	It took a unique mind to come up with this storyline.
Sci-Fi	9	It's not your typical alien movie.
Sci-Fi	9	These aliens are so stupid and confused.
Sci-Fi	9	You need to rent it at least once.
Action	9	One word can describe this movie and that is weird.
Action	9	so I thought it would be interesting.
Action	9	Well it was
Adventure	9	One word can describe this movie and that is weird.
Adventure	9	so I thought it would be interesting.
Adventure	9	Well it was
Animation	9	One word can describe this movie and that is weird.
Animation	9	so I thought it would be interesting.
Animation	9	Well it was
Biography	10	Religious bigotry is rampant everywhere.
Biography	10	Australia is not immune to it.
Biography	10	This is a very moving motion picture with a terrific cast of actors.
Biography	10	Those with supporting roles are also quite good.
Biography	10	You will remember this movie for many years.
Biography	10	See it!
Drama	10	Religious bigotry is rampant everywhere.
Drama	10	Australia is not immune to it.
Drama	10	This is a very moving motion picture with a terrific cast of actors.
Drama	10	Those with supporting roles are also quite good.
Drama	10	You will remember this movie for many years.
Drama	10	See it!
Comedy	8	"You will meet the girl of your dreams.
Comedy	8	"
Comedy	8	"
Action	8	"
Action	8	It's one heck of a thrill ride.
Action	8	*
Action	8	** (out of four)
Drama	8	"
Drama	8	It's one heck of a thrill ride.
Drama	8	*
Drama	8	** (out of four)
